connector_id,connector_name,total_operations,covered_operations,coverage_ratio,missing_operations
"qualtrics","Qualtrics","10","10","1.0000",""
"quickbooks","QuickBooks","17","17","1.0000",""
"ramp","Ramp","6","6","1.0000",""
"razorpay","Razorpay","8","8","1.0000",""
"ringcentral","RingCentral","10","10","1.0000",""
"sageintacct","Sage Intacct","9","9","1.0000",""
"salesforce","Salesforce","6","6","1.0000",""
"salesforce-enhanced","Salesforce Enhanced","10","10","1.0000",""
"sap-ariba","SAP Ariba","17","17","1.0000",""
"sendgrid","SendGrid","10","10","1.0000",""
"sentry","Sentry","21","21","1.0000",""
"servicenow","ServiceNow","8","8","1.0000",""
"sharepoint","SharePoint","18","18","1.0000",""
"shopify","Shopify","18","18","1.0000",""
"shopify-enhanced","Shopify Enhanced","14","14","1.0000",""
"slab","Slab","10","10","1.0000",""
"slack","Slack","16","16","1.0000",""
"slack-enhanced","Slack Enhanced","18","18","1.0000",""
"smartsheet","Smartsheet","17","17","1.0000",""
"snowflake","Snowflake","16","16","1.0000",""
"sonarqube","SonarQube","7","7","1.0000",""
"square","Square","10","10","1.0000",""
"stripe","Stripe","14","14","1.0000",""
"stripe-enhanced","Stripe Enhanced","7","7","1.0000",""
"successfactors","SAP SuccessFactors","7","7","1.0000",""
"surveymonkey","SurveyMonkey","17","17","1.0000",""
"tableau","Tableau","18","18","1.0000",""
"talkdesk","Talkdesk","17","17","1.0000",""
"teamwork","Teamwork","18","18","1.0000",""
"terraform-cloud","Terraform Cloud","7","7","1.0000",""
"toggl","Toggl Track","21","21","1.0000",""
"trello","Trello","24","24","1.0000",""
"trello-enhanced","Trello Enhanced","12","12","1.0000",""
"twilio","Twilio","15","15","1.0000",""
"typeform","Typeform","3","3","1.0000",""
"victorops","VictorOps","15","15","1.0000",""
"webex","Cisco Webex","13","13","1.0000",""
"webflow","Webflow","18","18","1.0000",""
"woocommerce","WooCommerce","10","10","1.0000",""
"workday","Workday","17","17","1.0000",""
"workfront","Adobe Workfront","16","16","1.0000",""
"xero","Xero","16","16","1.0000",""
"zendesk","Zendesk","21","21","1.0000",""
"zoho-books","Zoho Books","16","16","1.0000",""
"zoho-crm","Zoho CRM","13","13","1.0000",""
"zoom-enhanced","Zoom Enhanced","12","12","1.0000",""
